event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
164552,1.875,0.212,8.84434,58219,58219,58212
151169,1.457,0.164,8.88415,50444,50443,50441
156148,1.628,0.183,8.89617,53245,53245,53240
155740,1.593,0.178,8.94944,54856,54855,54852
133400,1.08,0.124,8.70968,41393,41393,41391
175042,2.168,0.239,9.07113,64336,64336,64326
142741,1.371,0.154,8.9026,47239,47239,47235
156899,1.61,0.18,8.94444,52564,52566,52563
146547,1.459,0.167,8.73653,49169,49169,49166
142790,1.304,0.148,8.81081,45826,45826,45826
153490,1.578,0.179,8.81564,52460,52460,52459
170167,2.002,0.221,9.05882,60005,60005,60001
150673,1.55,0.177,8.75706,51423,51423,51419
152398,1.646,0.189,8.70899,55109,55110,55105
150005,1.499,0.166,9.03012,50607,50607,50603
137595,1.287,0.148,8.69595,47492,47493,47488
150705,1.495,0.165,9.06061,49911,49911,49910
174173,2.232,0.245,9.1102,64002,64002,64000
142602,1.386,0.159,8.71698,48067,48067,48066
135706,1.222,0.139,8.79137,44538,44538,44535
164395,1.899,0.211,9,57691,57691,57689
152909,1.648,0.184,8.95652,52999,52999,52997
178461,2.311,0.254,9.09843,63019,63019,63017
130363,1.108,0.129,8.58915,41589,41589,41586
152250,1.596,0.179,8.9162,51314,51314,51313
142110,1.313,0.146,8.99315,47602,47601,47596
145070,1.474,0.166,8.87952,51178,51179,51178
163505,1.846,0.206,8.96117,57238,57238,57236
158883,1.751,0.194,9.02577,56312,56312,56309
144150,1.426,0.164,8.69512,49037,49037,49036
149290,1.447,0.159,9.10063,46481,46481,46481
147807,1.527,0.174,8.77586,52306,52306,52299
138989,1.293,0.147,8.79592,47618,47619,47612
166845,1.989,0.216,9.20833,60061,60061,60059
150275,1.513,0.167,9.05988,50955,50955,50946
147466,1.469,0.164,8.95732,50381,50381,50380
153712,1.664,0.183,9.0929,53295,53295,53293
154272,1.575,0.176,8.94886,51818,51818,51814
138995,1.289,0.146,8.82877,46578,46578,46576
142030,1.359,0.151,9,47180,47180,47176
157608,1.664,0.185,8.99459,53466,53466,53464
117537,0.841,0.098,8.58163,34036,34036,34036
145123,1.397,0.158,8.84177,49039,49039,49035
125346,0.998,0.116,8.60345,37980,37980,37977
144682,1.325,0.15,8.83333,45212,45212,45210
167794,1.947,0.211,9.22749,60785,60785,60785
154377,1.708,0.193,8.84974,55593,55593,55591
132659,1.06,0.123,8.61789,41487,41486,41485
163706,1.91,0.211,9.05213,57863,57863,57856
169849,2.045,0.225,9.08889,59903,59904,59899
147060,1.443,0.159,9.07547,48656,48656,48654
166034,1.916,0.212,9.03774,56080,56080,56077
114611,0.81,0.098,8.26531,33084,33084,33081
145345,1.427,0.159,8.97484,48195,48195,48193
134133,1.159,0.13,8.91538,43467,43467,43465
144050,1.371,0.153,8.96078,48313,48313,48312
165928,1.954,0.216,9.0463,60610,60610,60608
155659,1.675,0.183,9.15301,52482,52482,52477
137300,1.206,0.137,8.80292,43748,43748,43747
168378,2.029,0.227,8.93833,61244,61245,61240
137842,1.196,0.135,8.85926,42941,42939,42939
166224,1.935,0.216,8.95833,57528,57528,57527
