event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
158747,1.70581,0.504584,3.38062,56751,56751,56741
126692,0.997318,0.327332,3.04681,40820,40820,40817
151921,1.56603,0.435367,3.59704,52373,52373,52367
154304,1.56738,0.48162,3.25438,51956,51956,51952
164552,1.84766,0.5405,3.41843,58219,58219,58212
151169,1.45331,0.462101,3.14499,50444,50444,50441
156148,1.61421,0.47373,3.40746,53245,53245,53241
155740,1.56943,0.455045,3.44896,54856,54856,54852
133400,1.06753,0.39506,2.70218,41393,41393,41389
175042,2.21419,0.603499,3.66891,64336,64336,64328
142741,1.35757,0.404631,3.35508,47239,47239,47236
156899,1.62831,0.474393,3.43241,52564,52564,52560
146547,1.47101,0.452125,3.25354,49169,49169,49165
142790,1.30806,0.419372,3.11908,45826,45826,45825
153490,1.59573,0.458155,3.48296,52460,52460,52456
170167,2.01556,0.530563,3.79891,60005,60005,59992
150673,1.54288,0.470535,3.27899,51423,51423,51421
152398,1.6483,0.483519,3.40896,55109,55109,55102
150005,1.47943,0.44448,3.32845,50607,50607,50604
137595,1.26911,0.41919,3.02752,47492,47492,47485
150705,1.48039,0.461129,3.21036,49911,49911,49909
174173,2.21115,0.575377,3.84297,64002,64002,63999
142602,1.36053,0.424557,3.20459,48067,48067,48066
135706,1.19798,0.38744,3.09204,44538,44538,44536
164395,1.89219,0.534283,3.54156,57691,57691,57685
152909,1.6149,0.464337,3.47787,52999,52999,52993
178461,2.29318,0.614594,3.73122,63019,63019,63016
130363,1.08708,0.409437,2.65506,41589,41589,41587
152250,1.56757,0.451593,3.47119,51314,51314,51311
142110,1.29446,0.394741,3.27926,47602,47602,47597
145070,1.4573,0.436783,3.33644,51178,51178,51177
163505,1.83114,0.511418,3.58052,57238,57238,57234
158883,1.71983,0.505109,3.40486,56312,56312,56306
144150,1.40029,0.417824,3.35139,49037,49037,49036
149290,1.38524,0.437586,3.16565,46481,46481,46478
147807,1.50112,0.460045,3.26298,52306,52306,52305
138989,1.25836,0.412309,3.05197,47618,47618,47615
166845,1.9678,0.539484,3.64756,60061,60061,60060
150275,1.48235,0.461431,3.2125,50955,50955,50948
147466,1.4576,0.453658,3.21299,50381,50381,50378
153712,1.63766,0.490517,3.33864,53295,53295,53288
154272,1.58397,0.453281,3.49446,51818,51818,51808
138995,1.26938,0.421415,3.01217,46578,46578,46576
142030,1.32729,0.399627,3.32132,47180,47180,47179
157608,1.64383,0.480873,3.41842,53466,53466,53463
117537,0.813065,0.291152,2.79258,34036,34036,34036
145123,1.38398,0.431488,3.20746,49039,49039,49031
125346,0.967496,0.330311,2.92905,37980,37980,37978
144682,1.32087,0.382799,3.45055,45212,45212,45208
167794,1.91774,0.536527,3.57435,60785,60785,60780
154377,1.69663,0.46232,3.66982,55593,55593,55592
132659,1.06314,0.370995,2.86564,41487,41487,41486
163706,1.8875,0.535067,3.5276,57863,57863,57856
169849,1.99232,0.565256,3.52463,59903,59903,59899
147060,1.40919,0.412404,3.41701,48656,48656,48650
166034,1.88981,0.543329,3.47821,56080,56080,56077
114611,0.789353,0.307666,2.56561,33084,33084,33083
145345,1.41157,0.418233,3.37509,48195,48195,48193
134133,1.13567,0.397881,2.85429,43467,43467,43466
144050,1.34738,0.41681,3.2326,48313,48313,48312
165928,1.95007,0.561654,3.47202,60610,60610,60604
155659,1.64942,0.520423,3.16938,52482,52482,52478
137300,1.18623,0.373355,3.17723,43748,43748,43746
168378,2.01066,0.525254,3.82799,61244,61244,61237
137842,1.17807,0.375512,3.13724,42941,42941,42940
166224,1.9425,0.533898,3.63833,57528,57528,57524
135090,1.15901,0.377308,3.07179,42846,42846,42846
147995,1.43623,0.43658,3.28972,50301,50301,50297
144692,1.40685,0.436489,3.2231,49719,49719,49715
145838,1.35373,0.40127,3.37363,47702,47702,47695
174663,2.12609,0.607031,3.50244,62632,62632,62625
150766,1.54423,0.439684,3.51213,52017,52017,52013
156940,1.62576,0.516092,3.15013,54016,54016,54008
180161,2.38303,0.631996,3.77065,66819,66819,66804
160829,1.73758,0.513721,3.38234,54863,54863,54860
128708,1.02947,0.32786,3.13998,39863,39863,39860
154586,1.58614,0.446717,3.55065,53424,53424,53418
163079,1.85193,0.509443,3.6352,58889,58889,58886
161509,1.80024,0.515329,3.49338,57445,57445,57445
176034,2.14088,0.584237,3.66441,63020,63020,63018
151890,1.53882,0.437817,3.51476,51695,51695,51695
186465,2.4235,0.624676,3.87962,66976,66976,66969
167343,1.98606,0.523827,3.79145,61558,61558,61547
143942,1.35022,0.419848,3.21597,47185,47185,47182
175251,2.18475,0.568922,3.84015,63976,63976,63965
145242,1.44927,0.445301,3.25459,49706,49706,49702
135031,1.18612,0.376692,3.14879,43487,43487,43487
136885,1.20878,0.377606,3.20116,44761,44761,44758
163938,1.90515,0.502499,3.79135,58899,58899,58894
143039,1.31773,0.408361,3.22687,46676,46676,46674
158417,1.77433,0.480971,3.68906,56375,56375,56370
164359,1.83367,0.503086,3.64484,59233,59233,59229
176498,2.13972,0.611893,3.49688,62088,62088,62082
149981,1.49609,0.441386,3.38952,52890,52890,52882
172317,2.0566,0.54248,3.79111,61325,61325,61322
188026,2.52307,0.675865,3.7331,68266,68266,68247
196044,2.81673,0.701305,4.01641,75062,75062,75048
173923,2.11745,0.613799,3.44975,63024,63024,63017
181166,2.39503,0.628955,3.80794,69361,69361,69341
176335,2.25242,0.58334,3.86125,64740,64740,64730
192654,2.83797,0.691043,4.10679,75585,75585,75572
169433,2.00911,0.5375,3.73789,62446,62446,62442
186378,2.50972,0.662514,3.78818,69825,69825,69807
179093,2.26355,0.628988,3.59872,64677,64677,64664
193560,2.70942,0.681851,3.97363,71588,71588,71562
177207,2.14616,0.59522,3.60567,63128,63128,63123
180403,2.25749,0.593207,3.80557,64299,64299,64294
197292,2.80034,0.677133,4.13558,76044,76044,76039
164839,1.8049,0.48143,3.74904,57444,57444,57442
220842,3.85767,0.940399,4.10216,90626,90626,90600
174183,2.10959,0.581014,3.63087,62022,62022,62014
215928,3.3973,0.796914,4.26307,83153,83153,83141
186813,2.5496,0.651234,3.91502,67852,67852,67846
175785,2.1137,0.592247,3.56895,60006,60006,60003
198766,2.9932,0.748105,4.00104,76316,76316,76295
191302,2.7222,0.727954,3.73952,73969,73969,73952
189338,2.70134,0.661002,4.08673,71660,71660,71660
169297,2.06833,0.569457,3.63212,62324,62324,62320
190814,2.59575,0.659057,3.93858,69307,69307,69305
172350,2.16278,0.584031,3.70319,63965,63965,63957
194785,2.84424,0.717009,3.96681,75128,75128,75120
213102,3.64702,0.825441,4.41827,86626,86626,86616
181473,2.26521,0.607087,3.73128,65248,65248,65238
189190,2.56636,0.651536,3.93895,70955,70954,70949
203013,3.14213,0.805675,3.9,78762,78762,78753
179709,2.31337,0.630661,3.66817,66551,66551,66530
235431,4.57016,1.01787,4.48991,95547,95547,95525
161063,1.70291,0.507111,3.35807,54275,54273,54271
198538,2.92839,0.727437,4.02563,76542,76542,76522
184662,2.41144,0.621122,3.88239,69830,69830,69822
165814,1.98498,0.512162,3.87568,62171,62171,62162
182831,2.39533,0.630622,3.79836,66896,66896,66886
200321,2.98524,0.709486,4.20761,77478,77478,77461
186574,2.50843,0.691822,3.62583,68832,68832,68828
181051,2.24431,0.603381,3.71957,62766,62766,62762
170865,2.09101,0.583129,3.58584,63221,63221,63212
170620,2.00743,0.553451,3.62712,61360,61360,61355
195772,2.93546,0.739103,3.97166,74194,74194,74187
185159,2.43292,0.632627,3.84575,69176,69176,69159
177937,2.26624,0.633336,3.57826,65948,65948,65937
198014,2.88102,0.690926,4.16979,76323,76322,76307
193964,2.6526,0.710547,3.73319,72959,72959,72949
162158,1.75819,0.518615,3.39015,57295,57295,57288
181945,2.43245,0.603816,4.02847,68514,68514,68508
208622,3.35417,0.83432,4.02025,83381,83381,83367
157696,1.65142,0.493768,3.34452,52665,52665,52662
184605,2.47502,0.714788,3.4626,69534,69534,69521
152042,1.51308,0.455591,3.32114,50380,50380,50375
195121,2.75152,0.732834,3.75463,72323,72323,72312
187336,2.49062,0.622946,3.99814,70223,70223,70209
189711,2.76064,0.698732,3.95092,73698,73698,73677
182018,2.32427,0.6459,3.5985,65519,65519,65509
206555,3.3095,0.807667,4.0976,81300,81300,81285
211424,3.3871,0.823885,4.11113,80392,80392,80378
200348,2.95898,0.722683,4.09443,74198,74198,74177
200688,2.93221,0.712516,4.11529,73283,73283,73271
170163,2.08746,0.584166,3.57341,61648,61648,61640
192683,2.72029,0.687107,3.95905,72793,72793,72780
177808,2.25777,0.612224,3.68783,65939,65939,65931
173528,2.10581,0.567018,3.71384,63048,63048,63043
204811,3.18931,0.751237,4.24541,81237,81237,81223
197748,2.95318,0.719653,4.10362,74433,74433,74425
178627,2.22785,0.589483,3.77933,63833,63833,63830
210617,3.43527,0.818609,4.19647,83383,83383,83362
186818,2.48841,0.666065,3.73599,66430,66430,66418
190811,2.7572,0.70596,3.9056,70439,70439,70431
176306,2.20278,0.555975,3.96201,63074,63074,63071
188646,2.62464,0.647666,4.05245,70325,70324,70317
176670,2.28568,0.625939,3.6516,65866,65866,65853
176214,2.19873,0.575227,3.82236,64362,64362,64355
218495,3.80478,0.87784,4.33426,87132,87131,87099
177134,2.32864,0.638351,3.64791,66203,66203,66189
199210,3.04128,0.754437,4.03118,78302,78302,78292
